source_id,ra,dec,parallax,significance,period,ruwe,a_thiele_innes,b_thiele_innes,phot_g_mean_mag,bp_rp,wobble_amplitude
5917195479001084544,257.1743268667537,-56.842681259790126,1.8659025749338325,9.660995,466.36726621497036,2.6461666,-0.683583401501009,-0.20104467673441195,12.4944,0.9707289,0.712534370294468
5917433626341382272,256.91979446043973,-55.51726876846868,0.9950443857748732,17.148703,575.0411032060221,1.8760375,0.13459704112679988,0.006477419818583128,13.479355,0.6723099,0.13475281239215614
1836511252527829120,302.97997069444443,27.012843739037468,0.9101859981128131,5.5719223,923.6821781877287,1.4284959,0.6169760502814517,0.2186589844220747,15.770343,1.6255226,0.6545771139364662
1836616977445527936,303.01094239899936,27.720913326834236,1.2121036424692933,37.873146,711.3570631128706,3.232504,0.33662638249202503,0.5493665527213005,13.504288,0.9050026,0.6442987898782309
1836730158420694272,301.6251086086433,27.32948975953428,0.933336821585183,17.06773,621.0546867730757,2.0616755,-0.4422105475802947,-0.16968473246643104,14.165836,1.0459785,0.4736486850224208
1837244558061728000,303.14557184102495,28.589734975736427,0.7153142039602307,17.924805,599.1694233426723,1.6606112,-0.3087884266688807,0.18705127362842222,13.816868,1.4428091,0.36102419781873013
4194613740163033344,295.0977903206399,-9.108243322654852,1.856149074174208,30.428375,598.8413035287864,5.1837854,0.9092317163177448,0.35795448817086833,12.203524,1.0237198,0.9771559392235102
2202828944483517952,329.8496891002834,59.09034010593133,4.209087044191445,23.423298,234.9511335932728,3.3084872,-0.6203729239827394,-0.637603855078519,13.606476,1.4628706,0.8896073520502642
2203397529429211520,326.25122347373843,59.26176872976147,1.055117599312853,19.139078,529.7346970033868,1.8798465,-0.19602598739043103,-0.5719212750583608,14.747414,1.3388176,0.6045826102335186
4149346399816101888,264.9357759637248,-14.263266454108178,1.2302755368073026,13.2500925,563.0618360725347,1.972515,-0.49221343362412956,0.334817753974621,14.140246,1.1708412,0.5952957186278641
4486914851954598016,263.9714209823446,7.253886093568085,1.3761283180202155,26.062773,936.421838351654,2.1075747,-0.366661852358876,0.5531245825524382,14.438633,0.9403124,0.6636171470049966
4487283257069198720,264.5222817930028,7.381056432540719,0.8293062391646029,12.853436,510.2848762486645,1.5716786,0.24547482902371381,-0.13914364460854908,13.414491,1.3344803,0.2821681157026281
4487323732841597184,264.80638038875054,7.7895998772277295,1.2160641652336523,43.76328,700.723278565875,3.3267365,-0.8372099787018816,-0.4247694571380995,14.705109,1.0321255,0.9388022369782684
6654130541786278528,278.815775829895,-53.486713088984814,2.204706788198546,21.77812,434.81144861206195,2.8379202,-0.5855677178635113,-0.32634759808594904,10.559417,0.5542345,0.6703672925944022
3125258555238961920,95.26304502533547,3.4621586991394553,5.152397775101976,10.595184,544.3077500918,5.8176804,1.0329836467842535,-0.679872832190247,11.349515,0.90814877,1.236641533539159
3126081642774366720,102.62496778750739,1.4960151759258142,0.647307348204453,11.813095,862.4144977981379,3.1991618,0.45902568775969366,-0.03287429668520349,13.507653,1.2761908,0.46020137049535886
3003258428647386240,97.23499361144228,-8.887081159208597,2.191100834028415,21.106909,237.49575525215437,2.639671,-0.43053150502821147,-0.3203262351684211,12.651946,0.90275097,0.5366248911101976
5925581664672601600,260.3650676064907,-50.30062574672071,3.2287774714268553,30.976276,542.8250454595395,4.5462146,-0.5028361030183711,-0.7846221954288182,14.334797,1.5896292,0.9319206704748213
413275810661728000,18.79708641513776,56.310861713498724,1.0568886712428092,34.50323,741.7823604494434,2.0512056,0.4194489958631309,0.3275561361703195,13.990852,1.0773249,0.5321940270929557
2168994669587004416,314.3532879770604,50.37665920048796,2.026194630225026,27.37673,255.10728844997325,2.2343407,0.6582554398811971,0.08857005232523478,14.860931,1.4185324,0.6641873819202553
5845545705028264192,201.62162991540848,-67.55958469039173,1.0686518384799015,40.583218,686.0054457945319,2.1670194,-0.12257529181863093,-0.6264553833609469,13.982007,1.0664911,0.6383345905607289
5845714926713840640,211.48113613831154,-71.7466092748232,1.134716351631899,38.343903,611.0072513683981,2.5677443,-0.6041305312516139,0.623816302098612,14.85404,1.2879715,0.868401104072504
413150397616298624,21.681812927664886,58.204554581182855,1.4020810500447767,26.844378,506.0496579399979,2.2248468,-0.18939811769212136,0.4050784533490842,13.6256075,1.0075035,0.44716909592793286
413532477904816384,18.197327204980525,57.34677022768958,0.4987914630330778,12.899224,766.9490168933022,1.6600084,-0.17052098515719036,-0.08095315405226917,13.929488,1.4744654,0.1887612765637835
